Interval Start,Internal CO2 (tonnes),Exported CO2 (tonnes),Imported CO2 (tonnes),Load,VRE,Total_CO2_Emissions,delta_Load,delta_VRE,delta_Total_CO2_Emissions
2025-11-16 14:00:00+00:00,4058.019942,784.011956625,612.11763564,5202.0,785.0,3886.125621015,316.0,135.0,192.20891469000026
2025-11-16 15:00:00+00:00,4031.3741041800004,728.96306364,563.3346694500001,5375.0,1159.0,3865.74570999,173.0,374.0,-20.379911025000183
2025-11-16 16:00:00+00:00,3750.8471010000003,786.279919125,586.2365547750001,5517.0,1505.0,3550.8037366500002,142.0,346.0,-314.94197333999955
2025-11-16 17:00:00+00:00,3557.92695327,723.10083417,598.53344745,5601.0,1635.0,3433.35956655,84.0,130.0,-117.44417010000006
2025-11-16 18:00:00+00:00,3448.935933,834.5222030550001,669.43176957,5683.0,2073.0,3283.845499515,82.0,438.0,-149.51406703500015
2025-11-16 19:00:00+00:00,3301.99192107,871.63604859,735.09744861,5721.0,2392.0,3165.45332109,38.0,319.0,-118.39217842500011
2025-11-16 20:00:00+00:00,3611.503485,866.73724959,679.20215202,5816.0,2360.0,3423.96838743,95.0,-32.0,258.51506634
2025-11-16 21:00:00+00:00,3946.3454685000006,1088.81976633,644.29911633,5654.0,2100.0,3501.8248184999998,-162.0,-260.0,77.85643106999987
2025-11-16 22:00:00+00:00,4040.581124745,1040.8677816,719.990096805,5621.0,1535.0,3719.7034399500003,-33.0,-565.0,217.87862145000054
2025-11-16 23:00:00+00:00,4423.47397614,1043.9830548900002,763.94593161,5649.0,633.0,4143.43685286,28.0,-902.0,423.7334129099995
2025-11-17 00:00:00+00:00,4805.9939745,1123.34178432,604.09630587,5794.0,405.0,4286.74849605,145.0,-228.0,143.3116431899998
2025-11-17 01:00:00+00:00,5032.245913500001,1187.6258206050002,486.22575882,5951.0,559.0,4330.845851715,157.0,154.0,44.09735566500058
2025-11-17 02:00:00+00:00,5059.6429005,1355.9322249150002,493.38707721,5915.0,746.0,4197.097752795,-36.0,187.0,-133.7480989200003
2025-11-17 03:00:00+00:00,5039.6848305,1416.2954076300002,400.515827205,5868.0,922.0,4023.9052500750004,-47.0,176.0,-173.19250271999954
2025-11-17 04:00:00+00:00,4695.0815364,1429.24456632,391.51927356000004,5752.0,1483.0,3657.35624364,-116.0,561.0,-366.5490064350006
2025-11-17 05:00:00+00:00,4379.753102250001,1394.8540901550002,380.07604197,5520.0,1747.0,3364.9750540649998,-232.0,264.0,-292.381189575
2025-11-17 06:00:00+00:00,4053.0304244999998,1301.5392266850001,385.383981405,5275.0,1752.0,3136.87517922,-245.0,5.0,-228.0998748449997
2025-11-17 07:00:00+00:00,3720.6196968,1105.80771264,496.17576390000005,5136.0,1595.0,3110.98774806,-139.0,-157.0,-25.887431160000233
2025-11-17 08:00:00+00:00,3681.60348432,1157.54810193,413.29171356,5050.0,1741.0,2937.34709595,-86.0,146.0,-173.6406521099998
2025-11-17 09:00:00+00:00,3549.996342,1146.63466638,301.87669497,5093.0,2370.0,2705.23837059,43.0,629.0,-232.10872535999988
2025-11-17 10:00:00+00:00,3240.3741015,1042.38096618,389.907205815,5186.0,2981.0,2587.900341135,93.0,611.0,-117.3380294550002
2025-11-17 11:00:00+00:00,3199.0064655,1045.7330147549999,339.643713705,5309.0,3352.0,2492.9171644499997,123.0,371.0,-94.98317668500022
2025-11-17 12:00:00+00:00,3695.87169,1229.733719565,361.59668352,5410.0,3210.0,2827.7346539550003,101.0,-142.0,334.8174895050006
2025-11-17 13:00:00+00:00,3855.0844718700005,1319.4271005150001,149.84518956,5517.0,3185.0,2685.5025609150002,107.0,-25.0,-142.2320930400001
2025-11-17 14:00:00+00:00,3765.9970905000005,1227.3559876800002,128.22878538,5828.0,3580.0,2666.8698882,311.0,395.0,-18.632672715000353
2025-11-17 15:00:00+00:00,3789.5766430200006,1193.53975962,61.28760423000001,6049.0,4279.0,2657.32448763,221.0,699.0,-9.545400569999856
2025-11-17 16:00:00+00:00,3208.03295625,946.9741340999999,10.81183083,6097.0,4692.0,2271.87065298,48.0,413.0,-385.45383464999986
2025-11-17 17:00:00+00:00,2653.043481615,643.534359375,148.91078901,6114.0,4565.0,2158.41991125,17.0,-127.0,-113.45074173000012
2025-11-17 18:00:00+00:00,2407.160059215,554.960444715,378.31610307,6171.0,4468.0,2230.51571757,57.0,-97.0,72.09580632000007
2025-11-17 19:00:00+00:00,2374.7762762700004,524.6169208350001,508.19415078,6264.0,4287.0,2358.3535062150004,93.0,-181.0,127.83778864500027
2025-11-17 20:00:00+00:00,2730.219523935,578.908314345,239.27639404500002,6092.0,4099.0,2390.587603635,-172.0,-188.0,32.23409741999967
2025-11-17 21:00:00+00:00,2887.569855,705.3508524599999,302.993439705,5820.0,3784.0,2485.212442245,-272.0,-315.0,94.6248386100001
2025-11-17 22:00:00+00:00,3339.973035465,854.795973435,299.420945175,5776.0,3243.0,2784.598007205,-44.0,-541.0,299.38556496
